company_symbol,stock_price,date_and_time,buyer_id,buy_or_sell,headlines
AMD,794.68,2025-02-06T13:36:58,B886491,sell,"Company sets new sustainability targets, New CEO appointed"
AMD,998.48,2025-01-21T01:45:15,B701365,sell,Stock price surges following positive quarterly report
AMD,1431.5,2025-01-14T22:43:27,B771906,buy,"Product recall issued, New CEO appointed"
AMD,1198.95,2025-01-30T07:02:21,B199004,sell,New CEO appointed
AMD,496.15,2025-01-02T00:33:24,B226905,sell,"Company plans major expansion, Stock price surges following positive quarterly report, Stock hits new all-time high"
AMD,1103.01,2025-01-17T08:35:12,B792833,sell,Unexpected stock decline amid market uncertainty
AMD,1475.52,2025-01-28T18:22:38,B335771,buy,"New CEO appointed, Company sets new sustainability targets"
AMD,283.38,2025-01-19T12:39:29,B308060,sell,"Product recall issued, Company sets new sustainability targets, New CEO appointed"
AMD,1323.68,2025-01-18T20:37:39,B880899,buy,Stock price surges following positive quarterly report
AMD,135.2,2025-01-18T05:06:13,B909025,sell,"Product recall issued, Company sets new sustainability targets, New CEO appointed"
AMD,1466.5,2025-02-01T09:22:44,B716417,buy,Company plans major expansion
AMD,240.54,2025-01-10T13:13:27,B184027,sell,"New CEO appointed, Stock price surges following positive quarterly report"
AMD,875.55,2025-01-23T00:45:22,B728310,sell,"Stock price surges following positive quarterly report, Company announces record earnings, Company plans major expansion"
AMD,171.33,2025-01-31T10:37:46,B339982,sell,"Company plans major expansion, Company sets new sustainability targets"
AMD,435.82,2025-01-11T23:42:47,B428109,sell,Company announces record earnings
AMD,126.98,2025-01-21T01:24:36,B443803,sell,"Company sets new sustainability targets, Stock price surges following positive quarterly report"
AMD,1137.34,2025-01-28T18:55:04,B668999,buy,"New CEO appointed, Product recall issued, Company sets new sustainability targets"
AMD,1267.11,2025-01-07T10:52:49,B769785,sell,"Stock price surges following positive quarterly report, Company plans major expansion"
AMD,643.08,2025-01-11T07:22:55,B180712,sell,"Stock hits new all-time high, New CEO appointed, Stock price surges following positive quarterly report"
AMD,422.16,2025-01-12T15:11:53,B123472,sell,"Company sets new sustainability targets, Stock price surges following positive quarterly report"
AMD,574.16,2025-01-25T02:26:41,B479012,sell,Company sets new sustainability targets
AMD,1223.46,2025-01-22T18:32:20,B490695,sell,"Company plans major expansion, Company announces record earnings, Stock price surges following positive quarterly report"
AMD,779.92,2025-01-19T04:44:58,B943022,buy,"New CEO appointed, Stock price surges following positive quarterly report, Stock hits new all-time high"
AMD,1184.88,2025-02-06T12:39:03,B574894,sell,"Company sets new sustainability targets, Stock hits new all-time high, Product recall issued"
AMD,765.37,2025-02-02T14:14:45,B628219,sell,"Company announces record earnings, Stock price surges following positive quarterly report, Product recall issued"
AMD,1340.45,2025-01-13T23:05:35,B541986,sell,"Unexpected stock decline amid market uncertainty, Product recall issued"
